Time,Data
0 sec,-0.407139544032959
0.001 sec,-0.402531793273671
0.002 sec,-0.398014276356962
0.003 sec,-0.393587270318424
0.004 sec,-0.389251043426326
0.005 sec,-0.385005855153765
0.006 sec,-0.38085195615165
0.007 sec,-0.376789588222536
0.008 sec,-0.372818984295314
0.009 sec,-0.368940368400744
0.01 sec,-0.365153955647854
0.011 sec,-0.361459952201202
0.012 sec,-0.357858555258979
0.013 sec,-0.354349953032002
0.014 sec,-0.35093432472356
0.015 sec,-0.34761184051012
0.016 sec,-0.344382661522928
0.017 sec,-0.341246939830461
0.018 sec,-0.338204818421767
0.019 sec,-0.335256431190677
0.02 sec,-0.3324019029209
0.021 sec,-0.329641349271991
0.022 sec,-0.326974876766216
0.023 sec,-0.324402582776286
0.024 sec,-0.321924555513989
0.025 sec,-0.3195408740197
0.026 sec,-0.317251608152789
0.027 sec,-0.315056818582911
0.028 sec,-0.312956556782194
0.029 sec,-0.310950865018313
0.03 sec,-0.309039776348462
0.031 sec,-0.307223314614221
0.032 sec,-0.305501494437316
0.033 sec,-0.303874321216272
0.034 sec,-0.302341791123974
0.035 sec,-0.30090389110611
0.036 sec,-0.299560598880526
0.037 sec,-0.298311882937467
0.038 sec,-0.29715770254073
0.039 sec,-0.2960980077297
0.04 sec,-0.295132739322299
0.041 sec,-0.294261828918827
0.042 sec,-0.293485198906705
0.043 sec,-0.29280276246611
0.044 sec,-0.292214423576521
0.045 sec,-0.291720077024152
0.046 sec,-0.291319608410289
0.047 sec,-0.291012894160522
0.048 sec,-0.290799801534878
0.049 sec,-0.290680188638844
0.05 sec,-0.290653904435289
0.051 sec,-0.290720788757282
0.052 sec,-0.290880672321803
0.053 sec,-0.291133376744344
0.054 sec,-0.291478714554411
0.055 sec,-0.291916489211897
0.056 sec,-0.29244649512437
0.057 sec,-0.29306851766523
0.058 sec,-0.293782333192759
0.059 sec,-0.294587709070052
0.06 sec,-0.295484403685846
0.061 sec,-0.2964721664762
0.062 sec,-0.297550737947098
0.063 sec,-0.298719849697886
0.064 sec,-0.299979224445614
0.065 sec,-0.301328576050243
0.066 sec,-0.302767609540722
0.067 sec,-0.304296021141939
0.068 sec,-0.305913498302532
0.069 sec,-0.307619719723568
0.07 sec,-0.309414355388096
0.071 sec,-0.311297066591533
0.072 sec,-0.313267505972939
0.073 sec,-0.31532531754712
0.074 sec,-0.317470136737598
0.075 sec,-0.319701590410418
0.076 sec,-0.322019296908813
0.077 sec,-0.324422866088705
0.078 sec,-0.326911899355042
0.079 sec,-0.329485989698976
0.08 sec,-0.332144721735872
0.081 sec,-0.334887671744144
0.082 sec,-0.337714407704923
0.083 sec,-0.340624489342536
0.084 sec,-0.343617468165818
0.085 sec,-0.346692887510225
0.086 sec,-0.349850282580767
0.087 sec,-0.353089180495742
0.088 sec,-0.356409100331277
0.089 sec,-0.35980955316666
0.09 sec,-0.36329004213048
0.091 sec,-0.366850062447549
0.092 sec,-0.370489101486604
0.093 sec,-0.374206638808804
0.094 sec,-0.378002146216994
0.095 sec,-0.381875087805743
0.096 sec,-0.385824920012162
0.097 sec,-0.389851091667454
0.098 sec,-0.393953044049264
0.099 sec,-0.398130210934756
0.1 sec,-0.402382018654438
0.101 sec,-0.406707886146738
0.102 sec,-0.411107225013325
0.103 sec,-0.415579439575142
0.104 sec,-0.420123926929194
0.105 sec,-0.424740077006034
0.106 sec,-0.429427272627979
0.107 sec,-0.434184889568043
0.108 sec,-0.439012296609555
0.109 sec,-0.443908855606503
0.11 sec,-0.448873921544559
0.111 sec,-0.453906842602787
0.112 sec,-0.459006960216056
0.113 sec,-0.464173609138109
0.114 sec,-0.469406117505308
0.115 sec,-0.474703806901058
0.116 sec,-0.480065992420865
0.117 sec,-0.485491982738074
0.118 sec,-0.490981080170241
0.119 sec,-0.496532580746139
0.12 sec,-0.502145774273412
0.121 sec,-0.507819944406848
0.122 sec,-0.513554368717276
0.123 sec,-0.519348318761077
0.124 sec,-0.525201060150292
0.125 sec,-0.531111852623363
0.126 sec,-0.537079950116436
0.127 sec,-0.54310460083526
0.128 sec,-0.549185047327677
0.129 sec,-0.555320526556676
0.13 sec,-0.561510269974023
0.131 sec,-0.56775350359443
0.132 sec,-0.574049448070313
0.133 sec,-0.580397318767059
0.134 sec,-0.586796325838848
0.135 sec,-0.593245674305011
0.136 sec,-0.5997445641269
0.137 sec,-0.606292190285283
0.138 sec,-0.61288774285825
0.139 sec,-0.619530407099597
0.14 sec,-0.626219363517745
0.141 sec,-0.632953787955102
0.142 sec,-0.639732851667942
0.143 sec,-0.64655572140672
